product_id,product,category,outcome,problem_space,anchor_terms,event_year,signal_id,signal_type,year,query,signal_volume,sample_count,raw_path,status
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,01,Problem Recognition,2018,character.ai problem with,0,0,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_01_problem-recognition_2018.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,01,Problem Recognition,2019,character.ai problem with,0,0,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_01_problem-recognition_2019.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,01,Problem Recognition,2020,character.ai problem with,0,0,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_01_problem-recognition_2020.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,01,Problem Recognition,2021,character.ai problem with,0,0,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_01_problem-recognition_2021.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,01,Problem Recognition,2022,character.ai problem with,0,0,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_01_problem-recognition_2022.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,01,Problem Recognition,2023,character.ai problem with,5,5,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_01_problem-recognition_2023.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,01,Problem Recognition,2024,character.ai problem with,6,5,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_01_problem-recognition_2024.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,01,Problem Recognition,2025,character.ai problem with,3,3,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_01_problem-recognition_2025.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,01,Problem Recognition,2026,character.ai problem with,4,4,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_01_problem-recognition_2026.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,02,Search,2018,character.ai looking for,0,0,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_02_search_2018.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,02,Search,2019,character.ai looking for,0,0,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_02_search_2019.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,02,Search,2020,character.ai looking for,0,0,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_02_search_2020.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,02,Search,2021,character.ai looking for,0,0,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_02_search_2021.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,02,Search,2022,character.ai looking for,7,5,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_02_search_2022.json,ok
ai_character_ai,Character.AI,AI Products,Success/Growing,AI character chat,character.ai|character ai,2024,02,Search,2023,character.ai looking for,6,5,E:\AIHardware\假设验证研究\product_lifecycle_behavior_signal_research\raw\hn_algolia\ai-products\ai_character_ai\signal_02_search_2023.json,ok
